ID,Model,Type,Accuracy,ROC_AUC,CV_Best_AUC
8,"Neural Network (MLP, tuned)",neural_net,0.6495327102803738,0.7443902439024391,0.7373591160802679
2,Logistic Regression (tuned),linear,0.6713395638629284,0.7443360433604336,0.748638827536026
6,"SVM (RBF, tuned)",margin,0.6292834890965732,0.7423983739837398,0.7478645728579855
7,Gradient Boosting (tuned),tree_ensemble,0.6277258566978193,0.7308062330623307,0.7255989680200621
9,"Neural Network (TensorFlow, tuned)",neural_net,0.7725856697819314,0.7210162601626018,
4,Random Forest (tuned),tree_ensemble,0.705607476635514,0.7127235772357723,0.7183089911802026
3,Decision Tree (tuned),tree,0.6386292834890965,0.7011314363143631,0.7001031239144758
5,KNN (tuned),distance,0.616822429906542,0.6802235772357722,0.705504557605065
1,Dummy (most frequent),baseline,0.7663551401869159,0.5,0.5
